datetime,SRI,SJI
1902-04-26,19.26899443302748,6.8517114978652165
1902-04-27,19.273163033822218,6.856370876180363
1902-04-28,19.27624195169459,6.873718160917573
1902-04-29,19.279232491837472,6.878986605070145
1902-04-30,19.286497506871576,6.860776784689366
1902-05-01,19.293999322297893,6.8770403682654795
1902-05-02,19.296511746955154,6.8793777293315195
1902-05-03,19.297035125101516,6.877597432855751
1902-05-04,19.29722981784999,6.874938464123996
1902-05-05,19.3003821283518,6.902632653329459
1902-05-06,19.30226299251994,6.92877562664375
1902-05-07,19.302772022117093,6.927146964817008
1902-05-08,19.303224615633024,6.927156505964807
1902-05-09,19.304547075633355,6.996474550840924
1902-05-10,19.308792263724992,6.991376289995406
1902-05-11,19.310362880406352,6.9877648395638134
1902-05-12,19.310649523419308,6.989302244386586
1902-05-13,19.31061441515013,6.98066726977911
1902-05-14,19.31061441515013,6.9752685229970925
1902-05-15,19.31061441515013,6.9741360908200525
1902-05-16,19.31061441515013,7.015191271884891
1902-05-17,19.31061441515013,7.154407112578159
1902-05-18,19.31061441515013,7.16075571245001
1902-05-19,19.31061441515013,7.152974675315338
1902-05-20,19.31061441515013,7.1523063759581715
1902-05-21,19.31061441515013,7.15224801731265
1902-05-22,19.31061441515013,7.14959608857032
1902-05-23,19.31061441515013,7.1469347047722245
1902-05-24,19.31061441515013,7.146783572496371
1902-05-25,19.31061441515013,7.147336365653089
1902-05-26,19.31061441515013,7.147617600058232
1902-05-27,19.31061441515013,7.1419521766228895
1902-05-28,19.31061441515013,7.14222548073478
1902-05-29,19.31061441515013,7.139866502895665
1902-05-30,19.31061441515013,7.131674987470541
1902-05-31,19.31061441515013,7.129306412363347
1902-06-01,19.31061441515013,7.1293361403526525
1902-06-02,19.31061441515013,7.137870389845836
1902-06-03,19.31061441515013,7.1382995046229265
1902-06-04,19.31061441515013,7.135518016635153
1902-06-05,19.31061441515013,7.133364218231187
1902-06-06,19.31061441515013,7.128241348323401
1902-06-07,19.31061441515013,7.116372806019675
1902-06-08,19.31061441515013,7.110494843536476
1902-06-09,19.31061441515013,7.110540230960512
1902-06-10,19.31061441515013,7.12974026819502
1902-06-11,19.31061441515013,7.123474946382763
1902-06-12,19.31061441515013,7.11551065590331
1902-06-13,19.31061441515013,7.114241430951552
1902-06-14,19.31061441515013,7.1122380783318295
1902-06-15,19.31061441515013,7.1107666328239265
1902-06-16,19.31061441515013,7.110546973359194
1902-06-17,19.31061441515013,7.112085910595369
1902-06-18,19.31061441515013,7.112941313175548
1902-06-19,19.31061441515013,7.112505486254157
1902-06-20,19.31061441515013,7.112505486254157
1902-06-21,19.31061441515013,7.112505486254157
1902-06-22,19.31061441515013,7.112505486254157
1902-06-23,19.31061441515013,7.112390484831198
1902-06-24,19.31061441515013,7.112390484831198
1902-06-25,19.31061441515013,7.112390484831198
1902-06-26,19.31061441515013,7.111977832342672
1902-06-27,19.31061441515013,7.1117974100555355
1902-06-28,19.31061441515013,7.111987832569361
1902-06-29,19.31061441515013,7.111824142060509
1902-06-30,19.31061441515013,7.104616358524804
1902-07-01,19.31061441515013,7.100898184473334
1902-07-02,19.31061441515013,7.099906320139729
1902-07-03,19.31061441515013,7.09969089014126
1902-07-04,19.31061441515013,7.080774645442844
1902-07-05,19.31061441515013,7.0808163391545635
1902-07-06,19.31061441515013,7.089169632513806
1902-07-07,19.31061441515013,7.087791834080922
1902-07-08,19.31061441515013,7.088045920025653
1902-07-09,19.31061441515013,7.088151794434243
1902-07-10,19.31061441515013,7.088200536563109
1902-07-11,19.31061441515013,7.089735094447619
1902-07-12,19.31061441515013,7.090272335770086
1902-07-13,19.31061441515013,7.089930117182917
1902-07-14,19.31061441515013,7.0897606020524275
1902-07-15,19.31061441515013,7.089901865841693
1902-07-16,19.31061441515013,7.0900530998822715
1902-07-17,19.31061441515013,7.090250082671066
1902-07-18,19.31061441515013,7.09039575012426
1902-07-19,19.31061441515013,7.090402436009833
1902-07-20,19.31061441515013,7.090301885047983
1902-07-21,19.31061441515013,7.090301885047983
1902-07-22,19.31061441515013,7.090301885047983
1902-07-23,19.31061441515013,7.090092923918399
1902-07-24,19.31061441515013,7.087485696977758
1902-07-25,19.31061441515013,7.087046183276781
1902-07-26,19.31061441515013,7.086986732812119
1902-07-27,19.31061441515013,7.086992704147923
1902-07-28,19.31061441515013,7.086992704147923
1902-07-29,19.31061441515013,7.087252896351698
1902-07-30,19.31061441515013,7.087382742750254
1902-07-31,19.31061441515013,7.087357662429373
1902-08-01,18.39173866650229,5.866165850756824
1902-08-02,18.39173866650229,5.866165850756824
1902-08-03,18.39173866650229,5.866165850756824
1902-08-04,18.39173866650229,5.866165850756824
1902-08-05,18.39173866650229,5.866165850756824
1902-08-06,18.39173866650229,5.866165850756824
1902-08-07,18.39173866650229,5.866165850756824
1902-08-08,18.39173866650229,5.866165850756824
1902-08-09,18.39173866650229,5.866165850756824
1902-08-10,18.39173866650229,5.866165850756824
1902-08-11,18.39173866650229,5.866165850756824
1902-08-12,18.39173866650229,5.866165850756824
1902-08-13,18.39173866650229,5.866165850756824
1902-08-14,18.39173866650229,5.866165850756824
1902-08-15,18.39173866650229,5.866165850756824
1902-08-16,18.39173866650229,5.866165850756824
1902-08-17,18.39173866650229,5.866165850756824
1902-08-18,18.39173866650229,5.866165850756824
1902-08-19,18.39173866650229,5.866165850756824
1902-08-20,18.39173866650229,5.866165850756824
1902-08-21,18.39173866650229,5.866165850756824
1902-08-22,18.39173866650229,5.866165850756824
1902-08-23,18.39173866650229,5.866165850756824
1902-08-24,18.39173866650229,5.866165850756824
1902-08-25,18.39173866650229,5.866165850756824
1902-08-26,18.39173866650229,5.866165850756824
1902-08-27,18.39173866650229,5.866165850756824
1902-08-28,18.39173866650229,5.866165850756824
1902-08-29,18.39173866650229,5.866165850756824
1902-08-30,18.39173866650229,5.866165850756824
1902-08-31,18.39173866650229,5.866165850756824
1902-09-01,18.39173866650229,5.866165850756824
1902-09-02,18.39173866650229,5.866165850756824
1902-09-03,18.39173866650229,5.866165850756824
1902-09-04,18.39173866650229,5.866165850756824
1902-09-05,18.39173866650229,5.866165850756824
1902-09-06,18.39173866650229,5.866165850756824
1902-09-07,18.39173866650229,5.866165850756824
1902-09-08,18.39173866650229,5.866165850756824
1902-09-09,18.39173866650229,5.866165850756824
1902-09-10,18.39173866650229,5.866165850756824
1902-09-11,18.39173866650229,5.866165850756824
1902-09-12,18.39173866650229,5.866165850756824
1902-09-13,18.39173866650229,5.866165850756824
1902-09-14,18.39173866650229,5.866165850756824
1902-09-15,18.39173866650229,5.866165850756824
1902-09-16,18.39173866650229,5.866165850756824
1902-09-17,18.39173866650229,5.866165850756824
1902-09-18,18.39173866650229,5.866165850756824
1902-09-19,18.39173866650229,5.866165850756824
1902-09-20,18.39173866650229,5.866165850756824
1902-09-21,18.39173866650229,5.866165850756824
1902-09-22,18.39173866650229,5.866165850756824
1902-09-23,18.39173866650229,5.866165850756824
1902-09-24,18.39173866650229,5.866165850756824
1902-09-25,18.39173866650229,5.866165850756824
1902-09-26,18.39173866650229,5.866165850756824
1902-09-27,18.39173866650229,5.866165850756824
1902-09-28,18.39173866650229,5.866165850756824
1902-09-29,18.39173866650229,5.866165850756824
1902-09-30,18.39173866650229,5.866165850756824
1902-10-01,18.39173866650229,5.866165850756824
1902-10-02,18.39173866650229,5.866165850756824
